"","banca","tipocredito","sector_final","tipocontribuyente","NumeroTrabajadores","MAX_PORC_DEUDA_SOBREGIRO_CUENTA_CORRIENTE_ENTFIN_12M","MAX_CNT_ENTIDADES_SSFF_06M","SD_MAX_DIAS_MORA_SSFF_06M","CAT_ENTFIN_PRINCIPAL_01M","CAT_PRODUCTOS_SSFF_01M","MAX_X_CLASIF_12M","ANTIGUEDAD_RCC_01M","flag_ratios_aprobados","AUDITADO_1_PERIODO","AUDITADO_2_PERIODO","SITUACION_1_PERIODO","SITUACION_2_PERIODO","AUDITADO_1_TOTAL_INGRESOS_BRUTOS","EF_VAR_VENTAS_2a","EF_VAR_INMUEBLE_MAQ_EQUIPO_2a","EF_DIF_PROMEDIO_PAGOS_DIAS_2a","EF_ROTACION_INVENTARIOS_1a","EF_COBERTURA_SERVICIO_DEUDA_1a","EF_ActivosCirculante_PasivoCirculante_1a","EF_Cajasbancos_PasivoExigible_1a","EF_AUDITADO_1_PROMEDIO_COBRANZA_DIAS_1a","malo_sf_inicio","target_y","periodo"
"1","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0006271788,3,3.82970843102535,82,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,37,1,201712,201612,201803,201709,6820,0.220426157237319,NA,0,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201803"
"2","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0006271788,3,3.89871773792359,82,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,38,1,201712,201612,201803,201709,6820,0.220426157237319,NA,0,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201804"
"3","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0006271788,3,3.9707262140151,82,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,39,1,201712,201612,201803,201709,6820,0.220426157237319,NA,0,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201805"
"4","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0006271788,3,3.22490309931942,82,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,40,1,201712,201612,201806,201803,6820,0.220426157237319,NA,0,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201806"
"5","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0006271788,3,11.3033918213369,82,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,42,1,201712,201612,201806,201803,6820,0.220426157237319,NA,0,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201808"
"6","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0006222389,3,11.0589330407594,82,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,47,1,201712,NA,201809,201806,6820,NA,NA,NA,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201901"
"7","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0066594549,3,11.2856841470363,55,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,48,1,201712,NA,201809,201806,6820,NA,NA,NA,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201902"
"8","BANCA EMPRESA","Colocacion","COMERCIO","SOC. COM.RESPONS. LTDA",1,0.0066594549,3,10.8566415924385,55,"CREDITO_COMERCIO_EXTERIOR/PRESTAMO_COMERCIAL/TC",0,49,1,201712,NA,201809,201806,6820,NA,NA,NA,266,NA,1.26140534871526,0.0393287886733089,0,"pasa_filtros_sf",1,"201903"
"9","MEDIANA EMPRESA","Colocacion","SERVICIOS","SOCIEDAD ANONIMA CERRADA",89,0.0082460302,3,3.89871773792359,1,"LEASING/PRESTAMO_COMERCIAL",0,28,1,201612,201512,201610,201607,8147,43.7621316393153,62.5725770433229,-2,0,0.181069958847737,1.10415094339623,0.172075471698113,55,"pasa_filtros_sf",1,"201706"
"10","MEDIANA EMPRESA","Colocacion","SERVICIOS","SOCIEDAD ANONIMA CERRADA",89,0.0082460302,3,3.14112506383727,1,"LEASING/PRESTAMO_COMERCIAL",0,29,1,201612,201512,201610,201607,8147,43.7621316393153,62.5725770433229,-2,0,0.181069958847737,1.10415094339623,0.172075471698113,55,"pasa_filtros_sf",1,"201707"
